0.000000	4.075642	none
4.075642	4.175647	มึง
4.175647	4.381112	none
4.381112	4.635670	เหี้ย
4.635670	4.893427	none
4.893427	4.958884	กู
4.958884	5.930998	none
5.930998	5.997855	กู
5.997855	6.713067	none
6.713067	6.866729	มึง
6.866729	7.552929	none
7.552929	7.745374	หี
7.745374	7.919439	หี
7.919439	7.973497	none
7.973497	8.092423	ควย
8.092423	8.200282	none
8.200282	8.321371	ควย
8.321371	10.054282	none
10.054282	10.147290	มึง
10.147290	11.036401	none
11.036401	11.337383	สวะ
11.337383	12.591915	none
12.591915	12.740226	มึง
12.740226	14.304754	none
14.304754	14.454977	หี
14.454977	14.553978	none
14.553978	14.718726	แตด
14.718726	16.541993	none
16.541993	16.657708	ควย
16.657708	16.756708	none
16.756708	17.142422	ควย
17.142422	19.157333	none
